old_name,explanation,new_name,type
HH_ID,Key for household table,household_id,number
EF_ID,Key for economic family table,,number
CF_ID,Key for census family table,,number
PP_ID,Key for person table,person_id,number
WEIGHT,Individuals weighting factor,,number
WT1,Replicate PUMF weight,,number
WT2,Replicate PUMF weight,,number
WT3,Replicate PUMF weight,,number
WT4,Replicate PUMF weight,,number
WT5,Replicate PUMF weight,,number
WT6,Replicate PUMF weight,,number
WT7,Replicate PUMF weight,,number
WT8,Replicate PUMF weight,,number
WT9,Replicate PUMF weight,,number
WT10,Replicate PUMF weight,,number
WT11,Replicate PUMF weight,,number
WT12,Replicate PUMF weight,,number
WT13,Replicate PUMF weight,,number
WT14,Replicate PUMF weight,,number
WT15,Replicate PUMF weight,,number
WT16,Replicate PUMF weight,,number
ABOID,Aboriginal: Aboriginal identity – Detailed,indigenous_identity,categorical
AGEGRP,Age,age_group,categorical
AGEIMM,Immigration: Age at Immigration,immigration_age,categorical
ATTSCH,Education: School attendance,,categorical
BEDRM,Bedrooms,,categorical
BFNMEMB,Aboriginal: Membership in a First Nation or Indian band,,categorical
BUILT,Period of construction,,categorical
CF_RP,Census family reference person,,categorical
CFSTAT,"Household living arrangements of person, simple version",,categorical
CFSTRUCT,"Census family structure, simple version",,categorical
CIP2011,"Education: Major field of study, primary groupings (based on CIP Canada 2016)",,categorical
CITIZEN,Citizenship: Citizenship status and type – Summary,citizen_status,categorical
CITOTH,Citizenship: Other country of citizenship,,categorical
CMA,Census metropolitan area or census agglomeration of current residence (2016),area,categorical
CONDO,Condominium status,,categorical
COW,Labour: Class of worker (derived),,categorical
DIST,POW: Distance from home to work capped maximum of 201 kilometres,,categorical
DTYPE,Structural type of dwelling,,categorical
DUR,JTW: Commuting duration,,categorical
EF_RP,Economic family reference person,,categorical
EFDECILE,Income: National economic family after-tax income decile for all persons,income_decile,categorical
EFDIMBM,Income: Disposable income for MBM of economic family for all persons,,number
EMPIN,Income: Employment income,,number
ETHDER,Ethnic origin: Derived single and multiple ethnic origins,,ethnicity
FCOND,Condominium fees,,number
FOL,Language: First official language spoken,,categorical
FPTWK,Labour: Full-time or part-time weeks worked in 2015,,categorical
GENSTAT,Generation status: Detailed,immigration_generation,categorical
GTRFS,Income: Government transfers,,number
HDGREE,"Education: Highest certificate, diploma or degree",education,categorical
HHMAINP,Person responsible for household payments,,categorical
HLAEN,Language: Home language (part A) – English component,lang_most_eng,categorical
HLAFR,Language: Home language (part A) – French component,lang_most_fre,categorical
HLANO,Language: Home language (part A) – First write-in component,lang_most_oth_write_in,categorical
HLBEN,Language: Home language (part B) – English component,lang_regular_eng,categorical
HLBFR,Language: Home language (part B) – French component,lang_regular_fre,categorical
