old_name,explanation,new_name,type
PPSORT,Unique record identifier,person_id,number
WEIGHT,Individuals weighting factor,,number
WT1,Replicate PUMF weight,,number
WT2,Replicate PUMF weight,,number
WT3,Replicate PUMF weight,,number
WT4,Replicate PUMF weight,,number
WT5,Replicate PUMF weight,,number
WT6,Replicate PUMF weight,,number
WT7,Replicate PUMF weight,,number
WT8,Replicate PUMF weight,,number
WT9,Replicate PUMF weight,,number
WT10,Replicate PUMF weight,,number
WT11,Replicate PUMF weight,,number
WT12,Replicate PUMF weight,,number
WT13,Replicate PUMF weight,,number
WT14,Replicate PUMF weight,,number
WT15,Replicate PUMF weight,,number
WT16,Replicate PUMF weight,,number
ABOID,Aboriginal: Aboriginal identity – Detailed,indigenous_identity,categorical
AGEGRP,Age,age_group,categorical
AGEIMM,Immigration: Age at Immigration,immigration_age,categorical
ATTSCH,Education: School attendance – Detailed,,categorical
BedRm,Bedrooms,,number
BFNMEMB,Aboriginal: Membership in a First Nation or Indian band,,categorical
CapGn,Income: Net capital gains or losses,,categorical
CFInc,Income: Total income of census family for all persons,,categorical
CFInc_AT,Income: After-tax income of census family for all persons,,categorical
CfSize,"Census family size, stored at the person level",family_size,categorical
CFSTAT,"Household living arrangements of person, simple version",family_arrangement,categorical
CHDBN,Income: Child benefits,,categorical
ChldC,Income: Child care expenses paid,,categorical
CIP2011,"Education: Major field of study, primary groupings (based on CIP Canada 2016)",,categorical
CIP2011_STEM_SUM,"Education: Major field of study STEM & BHASE (non-STEM) groupings, Summary, based on CIP Canada 2016",,categorical
Citizen,Citizenship: Citizenship status and type – Summary,citizen_status,categorical
CitOth,Citizenship: Other country of citizenship,,categorical
CMA,Census metropolitan area or census agglomeration of current residence (2016),area,categorical
CONDO,Condominium status,,categorical
COW,Labour: Class of worker (derived),,categorical
CQPPB,Income: Canada Pension Plan (CPP) and Quebec Pension Plan (QPP) benefits,,categorical
DETH123,Ethnic origin: Single or multiple response indicator,,categorical
DIST,POW: Distance from home to work capped maximum of 201 kilometres,,categorical
DPGRSUM,Population group: Summary,ethnicity,categorical
DTYPE,Structural type of dwelling,,categorical
EFDecile,Income: National economic family after-tax income decile for all persons,income_decile,categorical
EfDIMBM,Income: Disposable income for MBM of economic family for all persons,,categorical
EFInc,Income: Total income of economic family for all persons,,categorical
EFInc_AT,Income: After-tax income of economic family for all persons,,number
EfSize,"Economic family size, stored at the person level",,categorical
EICBN,Income: Employment Insurance (EI) benefits,,number
EmpIn,Income: Employment income,,number
ETHDER,Ethnic origin: Derived single and selected multiple ethnic origins,,categorical
