"province","area","language_pair_collapsed","percent_bilingual_children_age_0_to_4","percent_all_children_age_0_to_4","percent_bilingual_children_age_5_to_9","percent_all_children_age_5_to_9","percent_bilingual_children_age_0_to_9","percent_all_children_age_0_to_9"
"Quebec","Gatineau","English&French",61.8,12.8,64.1,18.2,63.2,15.6
NA,"","French&Spanish",7.3,1.5,4.7,1.3,5.7,1.4
NA,"","French&Other",21.8,4.5,23.5,6.7,22.9,5.7
NA,"","English&Other",9.1,1.9,7.6,2.2,8.2,2
NA,"Montréal","English&French",34.7,10.3,36.3,13.3,35.6,11.9
NA,"","Arabic&French",11,3.3,10.5,3.9,10.7,3.6
NA,"","French&Spanish",5.1,1.5,4.6,1.7,4.9,1.6
NA,"","French&Other",27.6,8.2,29.6,10.9,28.7,9.6
NA,"","English&Other",21,6.2,18.8,6.9,19.7,6.6
NA,"","Other&Other",0.6,0.2,0.2,0.1,0.4,0.1
"Ontario","Ottawa","English&French",45.6,12.7,52.4,22.2,49.8,17.6
NA,"","Arabic&English",8.4,2.3,7.3,3.1,7.7,2.7
NA,"","English&Other",34.5,9.6,28.9,12.2,31,11
NA,"","French&Other",11.1,3.1,11.1,4.7,11.1,3.9
NA,"","Other&Other",0.5,0.1,0.3,0.1,0.4,0.1
NA,"Toronto","English&French",5.8,1.5,10.5,3.7,8.6,2.6
NA,"","English&Urdu",6.7,1.7,7.4,2.6,7.1,2.2
NA,"","English&Punjabi",6.3,1.6,6.7,2.3,6.5,2
NA,"","English&Mandarin",6.5,1.7,5.7,2,6,1.8
NA,"","English&Tamil",4.9,1.3,4.1,1.4,4.4,1.4
NA,"","English&Other",66.5,17.1,61.1,21.3,63.3,19.3
NA,"","French&Other",1.8,0.5,3.2,1.1,2.6,0.8
NA,"","Other&Other",1.4,0.4,1.3,0.4,1.3,0.4
"British Columbia","Vancouver","English&Mandarin",16.4,4.2,10.9,3.5,13.3,3.8
NA,"","English&Punjabi",10.7,2.7,13.7,4.4,12.4,3.6
NA,"","English&French",4.4,1.1,10.5,3.3,7.9,2.3
NA,"","Cantonese&English",7.4,1.9,6.1,1.9,6.6,1.9
NA,"","English&Other",57.6,14.6,55.6,17.7,56.5,16.2
NA,"","Other&Other",2.5,0.6,1.2,0.4,1.8,0.5
NA,"","French&Other",1,0.3,2,0.6,1.6,0.4
