"province","area","total","N","Percent"
"Newfoundland and Labrador","_other",13830,315,0.023
"Newfoundland and Labrador","Other",NA,NA,0.04
"Prince Edward Island",NA,3763,203,0.054
"Prince Edward Island","Other",NA,NA,0.106
"Nova Scotia",NA,24528,1490,0.061
"Nova Scotia","_other",NA,585,0.042
"Nova Scotia","Halifax",NA,905,0.085
"Nova Scotia","Other",NA,NA,0.049
"New Brunswick",NA,19720,2577,0.131
"New Brunswick","_other",NA,1575,0.126
"New Brunswick","Moncton – Saint John",NA,1002,0.139
"New Brunswick","Other",NA,NA,0.125
"Quebec",NA,215041,40807,0.19
"Quebec","_other",NA,4645,0.069
"Quebec","Montréal",NA,31052,0.286
"Quebec","Ottawa – Gatineau",NA,2332,0.262
"Quebec","Québec",NA,1869,0.089
"Quebec","Sherbrooke – Trois-Rivières",NA,909,0.096
"Quebec","Other",NA,NA,0.075
"Ontario",NA,357536,77548,0.217
"Ontario","_other",NA,5768,0.084
"Ontario","Brantford – Guelph – Barrie",NA,1222,0.094
"Ontario","Greater Sudbury - Thunder Bay",NA,1228,0.163
"Ontario","Hamilton",NA,3036,0.153
"Ontario","Kingston – Peterborough",NA,508,0.068
"Ontario","Kitchener – Cambridge – Waterloo",NA,2182,0.156
"Ontario","London",NA,1729,0.131
"Ontario","Oshawa",NA,967,0.096
"Ontario","Ottawa – Gatineau",NA,7452,0.286
"Ontario","St. Catharines – Niagara",NA,1119,0.105
"Ontario","Toronto",NA,50817,0.321
"Ontario","Windsor",NA,1520,0.172
"Ontario","Other",NA,NA,0.094
"Manitoba",NA,33521,5913,0.176
"Manitoba","_other",NA,1755,0.134
"Manitoba","Winnipeg",NA,4158,0.203
"Manitoba","Other",NA,NA,0.125
"Saskatchewan",NA,28894,3066,0.106
"Saskatchewan","_other",NA,1298,0.088
"Saskatchewan","Regina – Saskatoon",NA,1768,0.125
"Saskatchewan","Other",NA,NA,0.091
"Alberta",NA,107460,18165,0.169
"Alberta","_other",NA,3460,0.098
"Alberta","Calgary",NA,8044,0.217
"Alberta","Edmonton",NA,6661,0.19
"Alberta","Other",NA,NA,0.098
"British Columbia",NA,123109,23234,0.189
"British Columbia","_other",NA,2501,0.066
"British Columbia","Kelowna – Abbotsford",NA,1158,0.118
"British Columbia","Vancouver",NA,18542,0.283
"British Columbia","Victoria",NA,1033,0.105
"British Columbia","Other",NA,NA,0.062
"Northern Canada","_other",3019,795,0.263
"Northern Canada","Other",NA,NA,0.338
