"PR","CMA","total","N","Percent"
"Alberta",NA,7159,1048,"15%"
"Alberta","Calgary",NA,NA,"18%"
"Alberta","Edmonton",NA,NA,"17%"
"Alberta","Other census metropolitan areas, census agglomerations and o",NA,NA,"9%"
"British Columbia",NA,5947,979,"16%"
"British Columbia","Vancouver",NA,NA,"25%"
"British Columbia","Other census metropolitan areas, census agglomerations and o",NA,NA,"5%"
"Manitoba",NA,2121,266,"13%"
"Manitoba","Other census metropolitan areas, census agglomerations and o",NA,NA,"8%"
"New Brunswick",NA,940,95,"10%"
"New Brunswick","Other census metropolitan areas, census agglomerations and o",NA,NA,"9%"
"Newfoundland and Labrador",NA,588,23,"4%"
"Newfoundland and Labrador","Other census metropolitan areas, census agglomerations and o",NA,NA,"4%"
"Northern Canada",NA,249,73,"29%"
"Northern Canada","Other census metropolitan areas, census agglomerations and o",NA,NA,"29%"
"Nova Scotia",NA,1166,71,"6%"
"Nova Scotia","Other census metropolitan areas, census agglomerations and o",NA,NA,"4%"
"Ontario",NA,18904,3285,"17%"
"Ontario","Ottawa – Gatineau",NA,NA,"25%"
"Ontario","Toronto",NA,NA,"25%"
"Ontario","Other census metropolitan areas, census agglomerations and o",NA,NA,"7%"
"Prince Edward Island",NA,199,14,"7%"
"Prince Edward Island","Other census metropolitan areas, census agglomerations and o",NA,NA,"7%"
"Quebec",NA,11866,1991,"17%"
"Quebec","Montréal",NA,NA,"24%"
"Quebec","Other census metropolitan areas, census agglomerations and o",NA,NA,"7%"
"Saskatchewan",NA,1886,171,"9%"
"Saskatchewan","Other census metropolitan areas, census agglomerations and o",NA,NA,"8%"
